trigger,match_type,promote_url,previous_promote_url,source,target_current_rank,current_top_result,priority,promotion_needed,disambiguated,url_level_original,rule_applied,change_note
2d studio art,exact,https://www.arizona.edu/degree-search/majors/studio-art-two-dimensional-emphasis,https://www.arizona.edu/degree-search/majors/studio-art-two-dimensional-emphasis,ahrefs,absent,https://cfa.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
3d art class,exact,https://www.arizona.edu/degree-search/majors/studio-art-3d-and-extended-media-emphasis,https://www.arizona.edu/degree-search/majors/studio-art-3d-and-extended-media-emphasis,ahrefs,absent,https://cfa.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
3d art degree,exact,https://www.arizona.edu/degree-search/majors/studio-art-3d-and-extended-media-emphasis,https://www.arizona.edu/degree-search/majors/studio-art-3d-and-extended-media-emphasis,ahrefs,absent,https://cfa.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
3d studio art,exact,https://www.arizona.edu/degree-search/majors/studio-art-3d-and-extended-media-emphasis,https://www.arizona.edu/degree-search/majors/studio-art-3d-and-extended-media-emphasis,ahrefs,absent,https://cfa.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
accounting,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/accounting,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/accounting
accounting graduate certificate,exact,https://www.arizona.edu/degree-search/majors/accounting-gc,https://www.arizona.edu/degree-search/majors/accounting-gc,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
accounting ma,exact,https://www.arizona.edu/degree-search/majors/accounting-ma,https://www.arizona.edu/degree-search/majors/accounting-ma,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
accounting ms,exact,https://www.arizona.edu/degree-search/majors/accounting-ms,https://www.arizona.edu/degree-search/majors/accounting-ms,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
administration and management of american indian natural resources graduate,exact,https://www.arizona.edu/degree-search/majors/administration-and-management-of-american-indian-natural-resources,https://www.arizona.edu/degree-search/majors/administration-and-management-of-american-indian-natural-resources,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
adult-gerontology acute care nurse practitioner,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/adult-gerontology-acute-care-nurse-practitioner,metadata,4,https://nursing.arizona.edu/,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/adult-gerontology-acute-care-nurse-practitioner
advanced clinical pharmacy practice,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/advanced-clinical-pharmacy-practice,metadata,2,https://www.pharmacy.arizona.edu/,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/advanced-clinical-pharmacy-practice
advanced transportation engineering,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/advanced-transportation-engineering,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/advanced-transportation-engineering
aerospace engineering,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/aerospace-engineering,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/aerospace-engineering
aerospace engineering ms,exact,https://www.arizona.edu/degree-search/majors/aerospace-engineering-ms,https://www.arizona.edu/degree-search/majors/aerospace-engineering-ms,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
aerospace engineering phd,exact,https://www.arizona.edu/degree-search/majors/aerospace-engineering-dp,https://www.arizona.edu/degree-search/majors/aerospace-engineering-dp,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
africana studies university of arizona,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/africana-studies,ahrefs,3,https://africana.arizona.edu/,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/africana-studies
