trigger,promote_url,url_level_original,rule_applied,change_note
administration and management of american indian natural resources graduate,https://www.arizona.edu/degree-search/majors/administration-and-management-of-american-indian-natural-resources,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
american indian higher education graduate,https://www.arizona.edu/degree-search/majors/american-indian-higher-education,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
architectural engineering bachelor degree,https://www.arizona.edu/degree-search/majors/architectural-engineering,BASE,Rule 2 — REVIEW: specific term on base page,needs UG entity; no matching level page in dataset — verify
architectural engineering education requirements,https://www.arizona.edu/degree-search/majors/architectural-engineering,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
arizona egypt,https://www.arizona.edu/degree-search/majors/egyptian-archaeology,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
arizona paraprofessional certification,https://www.arizona.edu/degree-search/majors/legal-paraprofessional,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
arizona state university pa program,https://www.arizona.edu/degree-search/majors/physician-assistant,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
asm degree,https://www.arizona.edu/degree-search/majors/agricultural-systems-management,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
asu biotechnology,https://www.arizona.edu/degree-search/majors/applied-biotechnology,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
ba music education,https://www.arizona.edu/degree-search/majors/music-education,BASE,Rule 2 — REVIEW: specific term on base page,needs UG entity; no matching level page in dataset — verify
bachelor of science in business economics,https://www.arizona.edu/degree-search/majors/business-economics,BASE,Rule 2 — REVIEW: specific term on base page,needs UG entity; no matching level page in dataset — verify
bachelors in religious studies,https://www.arizona.edu/degree-search/majors/religious-studies,BASE,Rule 2 — REVIEW: specific term on base page,needs UG entity; no matching level page in dataset — verify
bachelors in studio art,https://www.arizona.edu/degree-search/majors/studio-art,BASE,Rule 2 — REVIEW: specific term on base page,needs UG entity; no matching level page in dataset — verify
botany degree,https://www.arizona.edu/degree-search/majors/plant-sciences,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
business and management colleges,https://www.arizona.edu/degree-search/majors/business-management,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
can a nurse practitioner diagnose autism,https://www.arizona.edu/degree-search/majors/diagnosis-and-management-of-autism-spectrum-disorder,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
can a psychiatric nurse practitioner diagnose autism,https://www.arizona.edu/degree-search/majors/diagnosis-and-management-of-autism-spectrum-disorder,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
can nurse practitioners diagnose autism,https://www.arizona.edu/degree-search/majors/diagnosis-and-management-of-autism-spectrum-disorder,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
civil engineering major map asu,https://www.arizona.edu/degree-search/majors/civil-engineering,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
civil engineering schooling,https://www.arizona.edu/degree-search/majors/civil-engineering,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
civil engineering subjects,https://www.arizona.edu/degree-search/majors/civil-engineering,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
colleges with creative writing,https://www.arizona.edu/degree-search/majors/creative-writing,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
communication major university of arizona,https://www.arizona.edu/degree-search/majors/public-relations,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
dendrochronologist,https://www.arizona.edu/degree-search/majors/dendrochronology,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
dpt a,https://www.arizona.edu/degree-search/majors/physical-therapy,BASE,Rule 2 — REVIEW: specific term on base page,needs level entity; no matching level page in dataset — verify
egypt in arizona,https://www.arizona.edu/degree-search/majors/egyptian-archaeology,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
geographic information science graduate,https://www.arizona.edu/degree-search/majors/geographic-information-science,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
global supply chain management,https://www.arizona.edu/degree-search/majors/global-supply-chain-mgmt,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
graduate certificate in business,https://www.arizona.edu/degree-search/majors/business-foundations,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
hbhp,https://www.arizona.edu/degree-search/majors/health-behavior-health-promotion,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
healthcare administration degree arizona management,https://www.arizona.edu/degree-search/majors/healthcare-management,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
heritage conservation graduate,https://www.arizona.edu/degree-search/majors/heritage-conservation,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
how to become a nutritionist in arizona,https://www.arizona.edu/degree-search/majors/nutrition-and-dietetics,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
hydrology and water resources engineering,https://www.arizona.edu/degree-search/majors/hydrology-and-water-resources,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
is business economics a good major,https://www.arizona.edu/degree-search/majors/business-economics,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
is economics a business degree,https://www.arizona.edu/degree-search/majors/business-economics,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
ista arizona,https://www.arizona.edu/degree-search/majors/information-science-and-arts,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
majors in university of arizona,https://www.arizona.edu/degree-search/majors/information-science-and-arts,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
master in russian,https://www.arizona.edu/degree-search/majors/russian,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
master of fine arts programs near me,https://www.arizona.edu/degree-search/majors/fine-arts-in-art,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
masters in education arizona,https://www.arizona.edu/degree-search/majors/education-in-teaching-and-teacher-education,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
mine production & info tech,https://www.arizona.edu/degree-search/majors/mine-production-and-information-technology,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
mpap degree,https://www.arizona.edu/degree-search/majors/physician-assistant,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
mse degree,https://www.arizona.edu/degree-search/majors/materials-science-engineering,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
multicultural and bilingual slhs,https://www.arizona.edu/degree-search/majors/multicultural-and-bilingual-speech-language-and-hearing-sciences,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
